,chemical_formula_descriptive
341,AlGaIn2IrSr
342,AlGaIn2IrSr
343,AlGaIn2RhYb
344,AlGaIn2RhYb
345,AlGaIr2Li2Mg2
346,AlGaIr2Li2Nb2
347,AlGaIr2Li2Ta2
348,AlGaIr2Li2V2
349,AlGaIr2Mg2Ti2
350,AlGaIr2Mn2Ta2
351,AlGaIr2Mn2Ti2
352,AlGaLi2Mg2Pd2
353,AlGaLi2Mg2Pt2
354,AlGaLi2Mo2Os2
355,AlGaLi2Nb2Os2
356,AlGaLi2Nb2Rh2
357,AlGaLi2Ni2Rh2
358,AlGaLi2Ni2Ti2
359,AlGaLi2Ni2Zr2
360,AlGaLi2Pd2Pt2
361,AlGaLi2Pd2Sc2
362,AlGaLi2Pd2Ti2
363,AlGaLi2Pd2Zr2
364,AlGaLi2Pt2Sc2
365,AlGaLi2Pt2Ti2
366,AlGaLi2Pt2Zr2
367,AlGaLi2Rh2Ta2
368,AlGaMgSeTe3
369,AlGaMgSeTe3
370,AlGaMgSe2Te2
371,AlGaMgSe2Te2
372,AlGaMgSe2Te2
373,AlGaMgSe2Te2
374,AlGaMgSe3Te
375,AlGaMgSe3Te
376,AlGaMg2Nb2Os2
377,AlGaSeTe3Zn
378,AlGaSeTe3Zn
379,AlGaSe2Te2Zn
380,AlGaSe2Te2Zn
381,AlGaSe2Te2Zn
382,AlGaSe2Te2Zn
383,AlGaSe3TeZn
384,AlGaSe3TeZn
385,AlGa2Gd3Ge2Pt
386,AlGa2Ge2Ho3Pt
387,AlGa2Ge2NiTb3
388,AlGa2Ge2PdYb3
389,AlGa2Ge2RhSc3
390,AlGa2Hf3NiRh2
391,AlGa2InIrSr
392,AlGa2InIrSr
393,AlGa2InRhYb
394,AlGa2InRhYb
395,AlGa2Ir2NiTi3
396,AlGa2Ir2NiZr3
397,AlGeIr2Mn2Ti2
398,AlGeLi2Mg2Pd2
399,AlGeLi2Mg2Pt2
400,AlGeLi2Nb2Os2
401,AlGeLi2Os2Ta2
402,AlGeLi2Pd2Sc2
